From Level,To Level,EXP Needed,Total Hours,Time (days),Time (hours),Base Cost (USD),Service Fee (USD),Price (USD)
50,51,24196,2.69,0,2.69,0.56,1.0,1.56
51,52,44262,4.92,0,4.92,1.02,1.0,2.02
52,53,46664,5.18,0,5.18,1.08,1.0,2.08
53,54,49062,5.45,0,5.45,1.14,1.0,2.14
54,55,51464,5.72,0,5.72,1.19,1.0,2.19
55,56,53856,5.98,0,5.98,1.25,1.0,2.25
56,57,84392,9.38,0,9.38,1.95,1.0,2.95
57,58,87988,9.78,0,9.78,2.04,1.0,3.04
58,59,91592,10.18,0,10.18,2.12,1.0,3.12
59,60,95186,10.58,0,10.58,2.2,1.0,3.2
60,61,132916,14.77,0,14.77,3.08,1.0,4.08
61,62,138914,15.43,0,15.43,3.22,2.0,5.22
62,63,144914,16.1,0,16.1,3.35,2.0,5.35
63,64,150918,16.77,0,16.77,3.49,2.0,5.49
64,65,158116,17.57,0,17.57,3.66,2.0,5.66
65,66,206646,22.96,0,22.96,4.78,2.0,6.78
66,67,215648,23.96,0,23.96,4.99,2.0,6.99
67,68,224648,24.96,1,0.96,5.2,2.0,7.2
68,69,233638,25.96,1,1.96,5.41,2.0,7.41
69,70,242650,26.96,1,2.96,5.62,2.0,7.62
70,71,301976,33.55,1,9.55,6.99,2.0,8.99
71,72,312778,34.75,1,10.75,7.24,2.5,9.74
72,73,327172,36.35,1,12.35,7.57,2.5,10.07
73,74,341574,37.95,1,13.95,7.91,2.5,10.41
74,75,355972,39.55,1,15.55,8.24,2.5,10.74
75,76,432102,48.01,2,0.01,10.0,2.5,12.5
76,77,453100,50.34,2,2.34,10.49,3.0,13.49
77,78,474100,52.68,2,4.68,10.97,3.0,13.97
78,79,495100,55.01,2,7.01,11.46,3.0,14.46
79,80,516098,57.34,2,9.34,11.95,3.0,14.95
80,81,613822,68.2,2,20.2,14.21,3.0,17.21
81,82,661830,73.54,3,1.54,15.32,8.0,23.32
82,83,709828,78.87,3,6.87,16.43,8.0,24.43
83,84,757826,84.2,3,12.2,17.54,8.0,25.54
84,85,805830,89.54,3,17.54,18.65,8.0,26.65
85,86,960552,106.73,4,10.73,22.24,8.0,30.24
86,87,1014558,112.73,4,16.73,23.49,8.0,31.49
87,88,1068556,118.73,4,22.73,24.74,8.0,32.74
88,89,1122554,124.73,5,4.73,25.99,8.0,33.99
89,90,1176560,130.73,5,10.73,27.24,8.0,35.24
90,91,1367290,151.92,6,7.92,31.65,8.0,39.65
91,92,1427242,158.58,6,14.58,33.04,12.0,45.04
92,93,1487330,165.26,6,21.26,34.43,12.0,46.43
93,94,1547290,171.92,7,3.92,35.82,12.0,47.82
94,95,1607288,178.59,7,10.59,37.21,12.0,49.21
95,96,1667280,185.25,7,17.25,38.59,12.0,50.59
96,97,1727290,191.92,7,23.92,39.98,15.0,54.98
97,98,1787280,198.59,8,6.59,41.37,15.0,56.37
98,99,1847288,205.25,8,13.25,42.76,15.0,57.76
99,100,1907288,211.92,8,19.92,44.15,15.0,59.15

